2017-02-16 09:01:19,148 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,148 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,019 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,157 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,143 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,187 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,198 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,202 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,216 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,246 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,247 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,247 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,247 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,250 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,252 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,264 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,264 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,265 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,316 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,266 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,269 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,270 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,270 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,270 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,271 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,271 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,271 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,272 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,273 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,306 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,306 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,308 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,266 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,329 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,344 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,361 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,361 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,376 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,398 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,376 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,378 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,379 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,403 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,382 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,405 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,406 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,407 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,381 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,378 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,409 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,386 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,416 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,418 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,419 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,421 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,427 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,429 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,431 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,546 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,550 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,554 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,560 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,561 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,565 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,566 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,567 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,568 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,569 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,569 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,570 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,572 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,573 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,598 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,608 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,609 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,625 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,628 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,629 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,632 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,634 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,637 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,641 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,652 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,656 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,657 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,658 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,679 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,663 - realTime_ny1.py:88 - logging - get buzz fail, retry...
